,Tuition,UG,SAT_AVG_ALL,PCTPELL
627,19244.0,5976.0,1074.0,0.3547
628,24079.0,6010.0,1227.0,0.1763
629,16643.0,8454.0,990.0,0.4201
630,9938.0,2942.0,947.0,0.3574
631,11785.0,1238.0,1191.0,0.3019
632,9027.0,16414.0,1040.0,0.3996
633,9663.0,12453.0,983.0,0.427
634,28082.0,3099.0,1094.0,0.3147
635,31053.0,581.0,1176.0,0.2408
636,20214.0,1361.0,1057.0,0.3755
637,25680.0,2285.0,1357.0,0.1823
638,19376.0,3349.0,1078.0,0.3142
639,29243.0,2539.0,1198.0,0.2686
640,22687.0,2811.0,1374.0,0.1228
641,21031.0,6623.0,1473.0,0.2194
642,17198.0,578.0,895.0,0.3877
643,29711.0,8381.0,1428.0,0.1547
644,7014.0,13025.0,1230.0,0.454
645,6451.0,10094.0,1115.0,0.4981
